num_of_day,title_of_itin,num_of_view,num_of_reply,places
10,shirley_yln的中国台湾行程,821,19,武汉·台北·新竹·台中市·台南·高雄市·垦丁
4,凤凰花馥的中国台湾香港行程,161,0,杭州·香港·台北
7,我的中国台湾七日游线路,888,9,杭州·台北·花莲·垦丁
4,肥仔毛的中国台湾泰国日本韩国行程,29,0,槟城·台北·东京·首尔·曼谷
4,凤凰花馥的中国台湾香港行程,98,0,杭州·香港·台北
2,万Marlboro的中国台湾行程,96,0,龙岩·台北
4,我的中国台湾二日游线路,344,0,厦门·金门县
1,雍轩逸的中国台湾行程,72,0,上海·台北
6,渔之乐.的中国台湾香港行程,79,0,福州·厦门·鼓浪屿·福鼎·太姥山·点头镇
10,中国-台湾,391,1,垦丁·台北
8,台湾参考行程,1049,33,上海·台北·花莲县·垦丁·高雄市
12,2016春节台湾环岛游参考行程,527,10,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市
12,台湾环岛,752,8,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市
15,台湾1,34,1,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·嘉义·南投·淡水·平溪
12,2017国庆台湾,25,0,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市
num_of_reply,num_of_day,title_of_itin,num_of_view,places
19,10,shirley_yln的中国台湾行程,821,武汉·台北·新竹·台中市·台南·高雄市·垦丁
0,4,凤凰花馥的中国台湾香港行程,161,杭州·香港·台北
9,7,我的中国台湾七日游线路,888,杭州·台北·花莲·垦丁
0,4,肥仔毛的中国台湾泰国日本韩国行程,29,槟城·台北·东京·首尔·曼谷
0,4,凤凰花馥的中国台湾香港行程,98,杭州·香港·台北
0,2,万Marlboro的中国台湾行程,96,龙岩·台北
0,4,我的中国台湾二日游线路,344,厦门·金门县
0,1,雍轩逸的中国台湾行程,72,上海·台北
0,6,渔之乐.的中国台湾香港行程,79,福州·厦门·鼓浪屿·福鼎·太姥山·点头镇
1,10,中国-台湾,391,垦丁·台北
33,8,台湾参考行程,1049,上海·台北·花莲县·垦丁·高雄市
10,12,2016春节台湾环岛游参考行程,527,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市
8,12,台湾环岛,752,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市
1,15,台湾1,34,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·嘉义·南投·淡水·平溪
0,12,2017国庆台湾,25,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市
num_of_day,title_of_itin,places,num_of_reply,num_of_view
10,shirley_yln的中国台湾行程,武汉·台北·新竹·台中市·台南·高雄市·垦丁,19,821
4,凤凰花馥的中国台湾香港行程,杭州·香港·台北,0,161
7,我的中国台湾七日游线路,杭州·台北·花莲·垦丁,9,888
4,肥仔毛的中国台湾泰国日本韩国行程,槟城·台北·东京·首尔·曼谷,0,29
4,凤凰花馥的中国台湾香港行程,杭州·香港·台北,0,98
2,万Marlboro的中国台湾行程,龙岩·台北,0,96
